(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
,(17, 17, 14),
,(14, 17, 14),
,(14, 17, 14),
